编号,车次,出发车站,到达车站,出发时刻,到达时刻,交路编号,
192,G1956/7,上海虹桥,太原南,719,1295,25,
193,G1958/5,太原南,上海虹桥,526,1058,25,
194,G7391/4,上海虹桥,南京南,1098,1304,25,
195,G579,南京南,长沙南,476,771,26,
196,G578/5,长沙南,上海虹桥,810,1208,26,
197,G7555,上海虹桥,杭州东,1252,1327,26,
198,G7556,杭州东,上海虹桥,408,483,26,
199,G576/7,上海虹桥,长沙南,504,916,26,
200,G580,长沙南,南京南,1002,1304,26,
201,D9509,南京南,芜湖,495,541,27,
202,D9510,芜湖,南京南,562,599,27,
203,D9511,南京南,芜湖,620,663,27,
204,D9512,芜湖,南京南,683,726,27,
205,D9513,南京南,芜湖,745,782,27,
206,D9514,芜湖,南京南,805,848,27,
207,D9515,南京南,芜湖,868,905,27,
208,D9516,芜湖,南京南,925,962,27,
209,D9517,南京南,芜湖,995,1038,27,
210,D9518,芜湖,南京南,1060,1103,27,
211,D9519,南京南,芜湖,1135,1178,27,
212,D9520,芜湖,南京南,1200,1237,27,
